_type,evt_block_time,evt_index,index,start,place_in_line,amount,price_per_pod,filled_beans,_from,_to,weather,yield_to_maturity,amount_classification
pod-listing-filled,2022-02-18T19:15:32+00:00,226,145580692.516754,0,122643637.352601,56092.082506,0.09,5048.28742554,\x921ed81dee5099d700d447a5acb33fc65ba6bf96,,23.5699999994561035,2.1212999999510493,"< 100,000 pods"
pod-listing-filled,2022-02-18T19:16:36+00:00,66,235869811.191401,0,212892756.027248,17601.537341,0.06,1056.09224046,\xd4bb9cc352ab9b8965a87bde35508695b09d40fb,,22.7699999999408660,1.3661999999964520,"< 25,000 pods"
pod-listing-filled,2022-02-18T19:17:37+00:00,231,260462773.844629,0,237485718.680476,222000,0.05,11100.00,\x1904e56d521ac77b05270caefb55e18033b9b520,,22.2000000000000000,1.11000000000000000000,"> 100,000 pods"
pod-listing-filled,2022-02-18T19:17:37+00:00,231,260462773.844629,0,237485718.680476,222000,0.05,11100.00,\x1904e56d521ac77b05270caefb55e18033b9b520,,22.2000000000000000,1.11000000000000000000,"> 100,000 pods"
pod-order-filled,2022-02-18T19:18:49+00:00,55,23999522.25399,3038.541665,1025505.631502,12500,0.8,10000.0,\xc5fb51e68d2753fd484b7f99a13c8e746720c6ac,\xe7003d4f740d6bbc2bb0f057d41df36085d8cba8,12.1699999998709243,9.7359999998967394,"< 25,000 pods"
pod-listing-filled,2022-02-18T19:21:28+00:00,440,36313652.89277,0,13336597.728617,7745.596697,0.38,2943.32674486,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,16.0000000000000000,6.0800000000000000,"< 10,000 pods"
pod-listing-filled,2022-02-18T19:32:08+00:00,86,359895402.458005,0,336943347.293852,85000,0.042,3570.000,\x61c95fe68834db2d1f323bb85f0590690002a06d,,21.9700000000000000,0.92273999999999999999,"< 100,000 pods"
pod-order-filled,2022-02-19T19:06:47+00:00,347,221003663.002392,178368.924777,198199649.793719,20023.987333,0.03,600.71961999,\xa8444f263231a9884450017381b737ff832d3021,\x6a93946254899a34fdcb7fbf92dfd2e4ec1399e7,23.0599999995887926,0.69179999998766377796,"< 25,000 pods"
pod-order-filled,2022-02-19T19:16:13+00:00,554,221003663.002392,42005.288414,198063286.157356,136363.636363,0.011,1499.999999993,\xa8444f263231a9884450017381b737ff832d3021,\xfc748762f301229bcea219b584fdf8423d8060a1,23.0599999995887926,0.25365999999547671860,"> 100,000 pods"
pod-order-filled,2022-02-19T19:18:13+00:00,408,221003663.002392,0,198021280.868942,42005.288414,0.01,420.05288414,\xa8444f263231a9884450017381b737ff832d3021,\x0b8e605a7446801ae645e57de5aabbc251cd1e3c,23.0599999995887926,0.23059999999588792600,"< 50,000 pods"
